train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3245,3.09E-07,9.17E-06,100,200,0.3211,0.3025,0.1234,0.2431,76.999,7.468,0.468,,,,,
0.3068,8.88E-07,8.33E-06,200,400,0.3202,0.3045,0.1223,0.2409,77.0611,7.462,0.467,,,,,
0.3132,3.31E-07,7.50E-06,300,600,0.3129,0.3031,0.1229,0.2416,78.1706,7.356,0.461,,,,,
0.2958,5.20E-07,6.67E-06,400,800,0.3131,0.3034,0.1234,0.2394,77.5756,7.412,0.464,,,,,
0.2987,4.06E-07,5.83E-06,500,1000,0.3189,0.3089,0.1234,0.2409,76.7447,7.492,0.469,,,,,
0.3132,6.29E-07,5.00E-06,600,1200,0.3232,0.3076,0.1207,0.2393,76.6886,7.498,0.469,,,,,
0.2915,4.40E-07,4.17E-06,700,1400,0.3215,0.3084,0.1214,0.2386,76.5807,7.508,0.47,,,,,
0.2987,3.37E-07,3.33E-06,800,1600,0.3086,0.3103,0.1227,0.2434,76.8157,7.485,0.469,,,,,
0.2892,2.91E-07,2.50E-06,900,1800,0.3065,0.3045,0.1221,0.2313,78.2488,7.348,0.46,,,,,
0.2987,3.87E-07,1.67E-06,1000,2000,0.3034,0.3078,0.1224,0.2342,78.5364,7.321,0.458,,,,,
0.2876,3.89E-07,8.33E-07,1100,2200,0.3012,0.3018,0.1219,0.2315,77.7907,7.392,0.463,,,,,
0.2813,3.68E-07,7.43E-07,1200,2400,0.3097,0.3025,0.1218,0.2312,78.3225,7.341,0.46,2019.0122,19.019,1.189,2.36E+16,2.15E-06
