train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3667,0.1282285,9.18E-05,100,200,0.3733,0.2817,0.1288,0.2125,58.7743,9.783,0.613,,,,,
0.3478,0.015558031,8.34E-05,200,400,0.3638,0.2802,0.1291,0.2134,58.7593,9.786,0.613,,,,,
0.3334,0.009926726,7.51E-05,300,600,0.3514,0.2766,0.1245,0.2086,58.8414,9.772,0.612,,,,,
0.3144,0.000612662,6.68E-05,400,800,0.3415,0.2855,0.1275,0.2117,59.0028,9.745,0.61,,,,,
0.3034,0.000439258,5.84E-05,500,1000,0.3245,0.2759,0.1265,0.2091,59.049,9.738,0.61,,,,,
0.3012,0.000104221,5.01E-05,600,1200,0.3145,0.2654,0.1243,0.2083,58.1755,9.884,0.619,,,,,
0.3013,6.73E-05,4.18E-05,700,1400,0.3086,0.2631,0.1208,0.2132,58.9338,9.757,0.611,,,,,
0.2981,8.67E-05,3.34E-05,800,1600,0.3023,0.2625,0.1285,0.2143,58.6814,9.799,0.613,,,,,
0.2965,0.000164781,2.51E-05,900,1800,0.2953,0.2701,0.1281,0.2107,58.9258,9.758,0.611,,,,,
0.2941,0.000129086,1.68E-05,1000,2000,0.2855,0.2712,0.1294,0.2101,59.9763,9.587,0.6,,,,,
0.2915,7.92E-05,8.46E-06,1100,2200,0.2786,0.2799,0.1276,0.2101,59.86,9.606,0.601,,,,,
0.2903,0.000142356,1.25E-07,1200,2400,0.2756,0.2812,0.1277,0.2133,58.9193,9.759,0.611,1490.2006,25.768,1.611,2.36E+16,0.001414843
