train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3545,3.43E-07,9.17E-05,100,200,0.3332,0.2985,0.1144,0.2214,59.6786,9.635,0.603,,,,,
0.3468,8.48E-07,8.33E-05,200,400,0.3311,0.2934,0.1194,0.2123,59.4978,9.664,0.605,,,,,
0.3456,9.38E-06,7.50E-05,300,600,0.3299,0.2893,0.1222,0.2108,59.9856,9.586,0.6,,,,,
0.3492,3.97E-06,6.67E-05,400,800,0.3246,0.2865,0.1149,0.2198,60.5626,9.494,0.594,,,,,
0.3415,1.04E-06,5.83E-05,500,1000,0.3211,0.2934,0.1239,0.2159,61.6234,9.331,0.584,,,,,
0.3467,1.80E-06,5.00E-05,600,1200,0.3188,0.2855,0.1128,0.2172,58.9922,9.747,0.61,,,,,
0.3318,9.16E-07,4.17E-05,700,1400,0.3145,0.2885,0.1175,0.2103,59.574,9.652,0.604,,,,,
0.3233,4.36E-07,3.33E-05,800,1600,0.3158,0.2901,0.1221,0.2149,59.266,9.702,0.607,,,,,
0.3322,5.22E-07,2.50E-05,900,1800,0.3115,0.2879,0.1154,0.2113,59.1402,9.723,0.609,,,,,
0.3211,3.73E-07,1.67E-05,1000,2000,0.3111,0.2944,0.1188,0.2136,59.731,9.626,0.603,,,,,
0.3256,3.43E-07,8.33E-06,1100,2200,0.3096,0.2932,0.1153,0.2136,58.9073,9.761,0.611,,,,,
0.317,8.18E-07,0,1200,2400,0.3087,0.2894,0.1204,0.2147,59.8588,9.606,0.601,1803.738,21.289,1.331,2.36E+16,1.50E-05
