train_loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3744,0.000715143,9.17E-06,100,200,0.3468,0.3183,0.1218,0.2239,76.4837,7.518,0.471,,,,,
0.3539,0.001108429,8.34E-06,200,400,0.3277,0.3179,0.1266,0.2229,76.9331,7.474,0.468,,,,,
0.3344,0.000684366,7.51E-06,300,600,0.3198,0.3188,0.1265,0.2246,76.545,7.512,0.47,,,,,
0.3233,0.00100186,6.68E-06,400,800,0.3088,0.3188,0.1255,0.2248,76.1971,7.546,0.472,,,,,
0.3033,0.000211509,5.84E-06,500,1000,0.2914,0.3182,0.1244,0.2238,74.4311,7.725,0.484,,,,,
0.2865,0.000453364,5.01E-06,600,1200,0.2823,0.3172,0.1223,0.2332,75.6875,7.597,0.476,,,,,
0.2755,0.000279842,4.18E-06,700,1400,0.2715,0.3174,0.1265,0.2314,76.2739,7.539,0.472,,,,,
0.2723,0.000127116,3.34E-06,800,1600,0.2676,0.3192,0.1235,0.2323,76.3933,7.527,0.471,,,,,
0.2705,0.000470781,2.51E-06,900,1800,0.2676,0.3189,0.1265,0.2329,74.6193,7.706,0.482,,,,,
0.2686,0.000132756,1.68E-06,1000,2000,0.2695,0.3175,0.1284,0.2343,75.6437,7.601,0.476,,,,,
0.2655,0.000162433,8.42E-07,1100,2200,0.2696,0.3176,0.1275,0.2376,74.4102,7.727,0.484,,,,,
0.2634,0.000277509,8.33E-09,1200,2400,0.2699,0.3159,0.1268,0.2398,76.9393,7.473,0.468,1679.5632,22.863,1.429,2.36E+16,8.35E-05
