,baseline-abs-R1,baseline-abs-R2,baseline-abs-RL,bert-base-abs-zs-R1,bert-base-abs-zs-R2,bert-base-abs-zs-RL,t5-small-abs-zs-R1,t5-small-abs-zs-R2,t5-small-abs-zs-RL,gpt-3.5-abs-zs-R1,gpt-3.5-abs-zs-R2,gpt-3.5-abs-zs-RL,gpt-4-abs-zs-R1,gpt-4-abs-zs-R2,gpt-4-abs-zs-RL,bert-base-abs-ft-R1,bert-base-abs-ft-R2,bert-base-abs-ft-RL,t5-small-abs-ft-R1,t5-small-abs-ft-R2,t5-small-abs-ft-RL,gpt-3.5-abs-ft-R1,gpt-3.5-abs-ft-R2,gpt-3.5-abs-ft-RL,gpt-4-abs-ft-R1,gpt-4-abs-ft-R2,gpt-4-abs-ft-RL
0,0.05263157894736842,0.0,0.05263157894736842,0.27380952380952384,0.12048192771084336,0.19047619047619047,0.27272727272727276,0.06976744186046512,0.2045454545454545,0.32183908045977005,0.11764705882352941,0.25287356321839083,0.2988505747126437,0.14117647058823532,0.27586206896551724,0.17391304347826086,0.04444444444444444,0.15217391304347824,0.29357798165137616,0.11214953271028037,0.22018348623853212,0.39080459770114945,0.14117647058823532,0.32183908045977005,0.28888888888888886,0.0909090909090909,0.2444444444444444
1,0.11764705882352942,0.0,0.11764705882352942,0.31884057971014496,0.10294117647058824,0.20289855072463767,0.4225352112676056,0.14492753623188406,0.2535211267605634,0.5517241379310345,0.18823529411764706,0.29885057471264365,0.5176470588235295,0.16867469879518074,0.28235294117647064,0.5,0.18604651162790697,0.29545454545454547,0.380952380952381,0.09836065573770493,0.1904761904761905,0.5783132530120482,0.2716049382716049,0.38554216867469876,0.45977011494252873,0.18823529411764706,0.29885057471264365
2,0.04878048780487805,0.0,0.04878048780487805,0.36231884057971014,0.14705882352941177,0.20289855072463767,0.46341463414634143,0.225,0.26829268292682923,0.4943820224719101,0.22988505747126434,0.24719101123595505,0.37209302325581395,0.14285714285714288,0.27906976744186046,0.5555555555555556,0.31818181818181823,0.33333333333333326,0.3703703703703704,0.17721518987341775,0.271604938271605,0.3777777777777778,0.13636363636363635,0.19999999999999998,0.3636363636363636,0.11627906976744187,0.1818181818181818
3,0.1836734693877551,0.0,0.12244897959183673,0.44943820224719105,0.25,0.34831460674157305,0.44036697247706424,0.14953271028037385,0.23853211009174313,0.5892857142857143,0.3818181818181818,0.44642857142857145,0.5840707964601771,0.39639639639639646,0.49557522123893805,0.4580152671755725,0.24806201550387597,0.3358778625954198,0.5555555555555556,0.29032258064516137,0.3968253968253969,0.5486725663716815,0.2882882882882883,0.35398230088495575,0.4642857142857143,0.2,0.3571428571428571
4,0.29629629629629634,0.05063291139240506,0.14814814814814817,0.297029702970297,0.12,0.16831683168316833,0.4186046511627907,0.07142857142857142,0.2558139534883721,0.43298969072164956,0.1894736842105263,0.24742268041237117,0.4631578947368421,0.1935483870967742,0.23157894736842105,0.3829787234042554,0.10869565217391304,0.2127659574468085,0.39622641509433965,0.11538461538461538,0.2641509433962264,0.41237113402061853,0.1894736842105263,0.2268041237113402,0.45652173913043476,0.22222222222222224,0.32608695652173914
5,0.09230769230769231,0.0,0.09230769230769231,0.39199999999999996,0.23387096774193547,0.344,0.36507936507936506,0.20967741935483872,0.30158730158730157,0.4444444444444445,0.2394366197183099,0.2916666666666667,0.39160839160839167,0.11347517730496452,0.18181818181818182,0.3971631205673759,0.21582733812949642,0.3262411347517731,0.4,0.21052631578947367,0.3259259259259259,0.4195804195804196,0.1702127659574468,0.26573426573426573,0.3611111111111111,0.08450704225352113,0.25
6,0.0784313725490196,0.0,0.0784313725490196,0.21839080459770116,0.12790697674418605,0.13793103448275862,0.14705882352941177,0.060606060606060615,0.11764705882352942,0.26666666666666666,0.10958904109589039,0.18666666666666668,0.43478260869565216,0.11940298507462685,0.2608695652173913,0.35,0.23076923076923078,0.22499999999999995,0.35443037974683544,0.18181818181818182,0.17721518987341772,0.26666666666666666,0.10958904109589039,0.18666666666666668,0.4057971014492754,0.11940298507462685,0.2608695652173913
7,0.04597701149425288,0.0,0.04597701149425288,0.2573099415204678,0.07100591715976332,0.15204678362573099,0.2542372881355932,0.05172413793103449,0.16949152542372883,0.37499999999999994,0.0851063829787234,0.16666666666666666,0.3260869565217391,0.08888888888888888,0.19565217391304346,0.2857142857142857,0.07272727272727272,0.1785714285714286,0.23931623931623933,0.034782608695652174,0.15384615384615383,0.42553191489361697,0.13043478260869565,0.2978723404255319,0.35789473684210527,0.08602150537634408,0.21052631578947367
8,0.058252427184466014,0.0,0.058252427184466014,0.23529411764705882,0.08333333333333333,0.1411764705882353,0.23076923076923075,0.07843137254901959,0.15384615384615385,0.3137254901960784,0.12,0.23529411764705882,0.3469387755102041,0.14583333333333334,0.22448979591836735,0.35,0.20338983050847456,0.28333333333333327,0.3676470588235294,0.14925373134328357,0.25,0.3428571428571428,0.11650485436893204,0.20952380952380953,0.35294117647058826,0.15999999999999998,0.2549019607843137
9,0.08571428571428572,0.0,0.08571428571428572,0.27096774193548384,0.19607843137254902,0.25806451612903225,0.5797101449275361,0.41791044776119407,0.5507246376811594,0.4888888888888889,0.3181818181818182,0.4444444444444445,0.4318181818181818,0.2790697674418605,0.40909090909090906,0.5473684210526315,0.38709677419354843,0.5263157894736842,0.6292134831460674,0.41379310344827586,0.5842696629213483,0.4545454545454546,0.20930232558139533,0.3409090909090909,0.4047619047619048,0.24390243902439024,0.3095238095238095
